name,price,size_mm,color,rpm,airflow_cfm,noise_level_db,pwm,original_price
Silverstone Air Slimmer,0.0859476517542231,0.2736842105263158,Black,0.1666666666666666,0.0041659917874238,0.3119468851377357,True,32.20846315789474
Scythe Kaze Flex RGB,0.0711589629354619,0.4210526315789473,Black / White,0.0705128205128205,0.0041659917874238,0.3119468851377357,True,15.99
Scythe Kaze Flex RGB,0.0711589629354619,0.4210526315789473,Black / White,0.0705128205128205,0.0041659917874238,0.3119468851377357,True,12.95
be quiet! Shadow Wings 2,0.0810593403873522,0.5263157894736842,White / Black,0.0897435897435897,0.0004044932875025,0.1523076923076923,True,14.9
be quiet! Shadow Wings 2,0.0810593403873522,0.5263157894736842,White / Black,0.0897435897435897,0.0004044932875025,0.1523076923076923,True,14.71
be quiet! Shadow Wings 2,0.0810593403873522,0.5263157894736842,White / Black,0.0897435897435897,0.0004044932875025,0.1523076923076923,True,14.9
be quiet! Shadow Wings 2,0.0810593403873522,0.5263157894736842,White / Black,0.0897435897435897,0.0004044932875025,0.1523076923076923,True,16.89
be quiet! Shadow Wings 2,0.0810593403873522,0.5263157894736842,White / Black,0.0897435897435897,0.0004044932875025,0.1523076923076923,True,17.59
be quiet! Shadow Wings 2,0.0810593403873522,0.5263157894736842,White / Black,0.0897435897435897,0.0004044932875025,0.1523076923076923,True,18.89
be quiet! Shadow Wings 2,0.0810593403873522,0.5263157894736842,White / Black,0.0897435897435897,0.0004044932875025,0.1523076923076923,True,16.89
be quiet! Shadow Wings 2,0.0810593403873522,0.5263157894736842,White / Black,0.0897435897435897,0.0004044932875025,0.1523076923076923,True,17.98
Fractal Design Silent R2,0.1715145297809216,0.4210526315789473,White,0.1282051282051282,0.0003245928476671,0.1538461538461538,False,32.20846315789474
Fractal Design Silent R2,0.1715145297809216,0.4210526315789473,White,0.1282051282051282,0.0003245928476671,0.1538461538461538,False,32.20846315789474
Fractal Design Silent R2,0.1715145297809216,0.4210526315789473,White,0.1282051282051282,0.0003245928476671,0.1538461538461538,False,32.20846315789474
Fractal Design Silent R2,0.1715145297809216,0.4210526315789473,White,0.1282051282051282,0.0003245928476671,0.1538461538461538,False,32.20846315789474
Fractal Design Silent R2,0.1715145297809216,0.4210526315789473,White,0.1282051282051282,0.0003245928476671,0.1538461538461538,False,32.20846315789474
Fractal Design Silent R2,0.1715145297809216,0.4210526315789473,White,0.1282051282051282,0.0003245928476671,0.1538461538461538,False,32.20846315789474
Fractal Design Silent R2,0.1715145297809216,0.4210526315789473,White,0.1282051282051282,0.0003245928476671,0.1538461538461538,False,32.20846315789474
Thermaltake Riing Quad 14 RGB Radiator TT Premium Edition 3-Pack,0.7765608563826498,0.5263157894736842,Black,0.0961538461538461,0.0004929990520374,0.3246153846153846,True,129.99
Thermaltake Riing Quad 14 RGB Radiator TT Premium Edition 3-Pack,0.7765608563826498,0.5263157894736842,Black,0.0961538461538461,0.0004929990520374,0.3246153846153846,True,86.7
Fractal Design Aspect 14,0.1715145297809216,0.5263157894736842,Black,0.1025641025641025,0.0003280349775469,0.2230769230769231,False,32.20846315789474
Fractal Design Aspect 14,0.1715145297809216,0.5263157894736842,Black,0.1025641025641025,0.0003280349775469,0.2230769230769231,False,39.0
Corsair ML120 PRO,0.1715145297809216,0.4210526315789473,Black / White,0.1025641025641025,0.0003822485231541,0.3076923076923077,True,32.20846315789474
Cougar VORTEX SPB 3-Pack,0.1715145297809216,0.4210526315789473,Black,0.1089743589743589,0.0003498925022838,0.3230769230769231,True,32.20846315789474
Iceberg Thermal IceGALE ARGB,0.0557515005259575,0.4210526315789473,Teal / White,0.1474358974358974,0.0007841171866233,0.3119468851377357,True,13.5
