name,price,rpm,noise_level_db,color,size_mm,original_price
ID-COOLING SPACE LCD,0.1083712586119682,0.0532150776053215,0.6285714285714286,Black,0.4,102.19361725663715
ID-COOLING SPACE LCD,0.1083712586119682,0.0532150776053215,0.6285714285714286,Black,0.4,102.19361725663715
ID-COOLING SPACE LCD,0.1083712586119682,0.0532150776053215,0.6285714285714286,Black,0.4,102.19361725663715
ID-COOLING SPACE LCD,0.1083712586119682,0.0532150776053215,0.6285714285714286,Black,0.4,102.19361725663715
ID-COOLING SPACE LCD,0.1083712586119682,0.0532150776053215,0.6285714285714286,Black,0.4,102.19361725663715
ID-COOLING SPACE LCD,0.1083712586119682,0.0532150776053215,0.6285714285714286,Black,0.4,102.19361725663715
ID-COOLING SPACE LCD,0.1083712586119682,0.0532150776053215,0.6285714285714286,Black,0.4,102.19361725663715
ID-COOLING SPACE LCD,0.1083712586119682,0.0532150776053215,0.6285714285714286,Black,0.4,102.19361725663715
ID-COOLING SPACE LCD,0.1083712586119682,0.0532150776053215,0.6285714285714286,Black,0.4,102.19361725663715
ID-COOLING SPACE LCD,0.1083712586119682,0.0532150776053215,0.6285714285714286,Black,0.4,102.19361725663715
ID-COOLING SPACE LCD,0.1083712586119682,0.0532150776053215,0.6285714285714286,Black,0.4,102.19361725663715
ID-COOLING SPACE LCD,0.1083712586119682,0.0532150776053215,0.6285714285714286,Black,0.4,102.19361725663715
ID-COOLING SPACE LCD,0.1083712586119682,0.0532150776053215,0.6285714285714286,Black,0.4,102.19361725663715
ID-COOLING SE-802-SD V3,0.1083712586119682,0.1463414634146341,0.4160714285714285,Black / Silver,0.4896551724137931,102.19361725663715
Rosewill RCX-ZAIO-92,0.0244174689549323,0.0886917960088691,0.3526785714285714,Unknown,0.4896551724137931,29.99
Dynatron R8,0.0359983256592716,0.0793746917727098,0.4521222306225758,Unknown,0.4896551724137931,39.95
RAIJINTEK MYA RBW,0.0244174689549323,0.0221729490022172,0.5076785714285714,Black,0.4896551724137931,29.99
RAIJINTEK DELOS RBW,0.0360448351239477,0.0687361419068736,0.4098214285714285,Black,0.4896551724137931,39.99
Alpenföhn Dolomit Advanced,0.1083712586119682,0.0443458980044345,0.4196428571428571,Black,0.4896551724137931,102.19361725663715
Enermax Liqtech TR4 II 240,0.185782056648528,0.0753880266075388,0.375,Black,0.4,168.77
RAIJINTEK EOS 240 RBW,0.0592995674619785,0.0665188470066518,0.5,Black,0.4,59.99
RAIJINTEK THEMIS BLACK,0.021173433793777,0.0620842572062084,0.4380357142857143,Black / Silver,0.4896551724137931,27.2
Jonsbo HX6240,0.1083712586119682,0.0620842572062084,0.5857142857142856,White,0.4896551724137931,102.19361725663715
Jonsbo HX6240,0.1083712586119682,0.0620842572062084,0.5857142857142856,White,0.4896551724137931,102.19361725663715
Jonsbo HX6240,0.1083712586119682,0.0620842572062084,0.5857142857142856,White,0.4896551724137931,102.19361725663715
