id,name,performance_score,percentage_rating,price,details_link,class,socket,clock_speed_(ghz),turbo_speed_(ghz),cores,threads,tdp,performance_per_dollar,thread-to-core_ratio,estimated_release_year,original_price
rk5059,Intel Core i5-13600KF,0.1846148722901195,20.0,0.0108748715646554,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-13600KF&id=5059,Desktop,FCLGA1700,2.903913894324853,4.1507660878447385,16.027370478983382,30.19941348973607,118.19583333333334,178.1859389017423,1.884240058550866,2022.0,211.79
rk6205,AMD Ryzen 7 9700X,0.1806253954510639,20.0,0.0195577305298684,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+7+9700X&id=6205,Desktop,AM5,3.8,5.5,8.0,16.0,65.0,112.88449848024317,2.0,2024.0,329.0
rk5036,AMD Ryzen 7 7700X,0.1725998201738319,19.0,0.0192347438812179,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+7+7700X&id=5036,Desktop,AM5,4.5,5.4,8.0,16.0,105.0,110.6887629374076,2.0,2022.0,324.64
rk4609,Intel Core i7-12700K,0.1636018515435079,18.0,0.0254840910555662,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-12700K&id=4609,Desktop,FCLGA1700,2.903913894324853,4.1507660878447385,16.027370478983382,30.19941348973607,118.19583333333334,84.55501222493888,1.884240058550866,2021.0,409.0
rk4608,Intel Core i7-12700KF,0.1616304239235405,18.0,0.0082976455310426,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-12700KF&id=4608,Desktop,FCLGA1700,2.903913894324853,4.1507660878447385,16.027370478983382,30.19941348973607,118.19583333333334,193.71186440677965,1.884240058550866,2021.0,177.0
rk6307,AMD Ryzen 7 5800XT,0.1235672183555895,15.0,0.0099273946756095,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+7+5800XT&id=6307,Desktop,AM4,3.8,4.8,8.0,16.0,105.0,143.57788944723617,2.0,2020.0,199.0
rk5033,AMD Ryzen 5 7600X,0.122901195511006,15.0,0.0097784948674013,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+5+7600X&id=5033,Desktop,AM5,4.7,5.3,6.0,12.0,105.0,144.5352555967308,2.0,2022.0,196.99
rk4823,AMD Ryzen 7 5800X3D,0.1217889373605514,15.0,0.0491895331583575,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+7+5800X3D&id=4823,Desktop,AM4,3.4,4.5,8.0,16.0,105.0,38.82716049382716,2.0,2020.0,729.0
rk4625,Intel Core i5-12600KF,0.1190582436977588,15.0,0.006044146941146,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-12600KF&id=4625,Desktop,FCLGA1700,2.903913894324853,4.1507660878447385,16.027370478983382,30.19941348973607,118.19583333333334,190.305635148042,1.884240058550866,2021.0,146.58
rk3869,AMD Ryzen 7 5800X,0.1185320856505378,15.0,0.008667302268833,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+7+5800X&id=3869,Desktop,AM4,3.8,4.7,8.0,16.0,105.0,152.8435628331227,2.0,2020.0,181.99
rk4603,Intel Core i5-12600K,0.1175996536681208,15.0,0.0082850520149255,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-12600K&id=4603,Desktop,FCLGA1700,2.903913894324853,4.1507660878447385,16.027370478983382,30.19941348973607,118.19583333333334,156.51190408867274,1.884240058550866,2021.0,176.83
rk6249,AMD Ryzen 5 7600X3D,0.1057577674914249,14.0,0.0237054421027912,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+5+7600X3D&id=6249,Desktop,AM5,4.1,4.7,6.0,12.0,65.0,67.26927972155121,2.0,2022.0,384.99
rk6387,AMD Ryzen 5 5600XT,0.0847847081154883,12.0,0.0077050094784728,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+5+5600XT&id=6387,Desktop,AM4,3.7,4.7,6.0,12.0,65.0,134.6094674556213,2.0,2020.0,169.0
rk5573,AMD Ryzen 5 5600X3D,0.1305962170148192,11.0,0.0297881103873543,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+5+5600X3D&id=5573,Desktop,AM4,3.3,4.4,6.0,12.0,105.0,144.6004119828794,2.0,2020.0,467.1
rk3859,AMD Ryzen 5 5600X,0.0790236105098405,11.0,0.0034876631693731,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+5+5600X&id=3859,Desktop,AM4,3.7,4.6,6.0,12.0,65.0,195.2708128848041,2.0,2020.0,112.07
