name,id,details_link,price,average_mark,database_operations,read_cached_mbps,read_uncached_mbps,write_mbps,latency,threaded_mbps,memory_size_gb,original_price
Kingston 9905744-027.A00G 16GB,rk16694,https://www.memorybenchmark.net/ram.php?ram=Kingston+9905744-027.A00G+16GB&id=16694,0.1890551527136892,0.6002958579881656,5600.0,31911.0,18419.0,13358.0,0.1685393258426966,0.1375451416119958,16,124.96513513513514
Kingston 9905711-039.A00G 8GB,rk17500,https://www.memorybenchmark.net/ram.php?ram=Kingston+9905711-039.A00G+8GB&id=17500,0.1890551527136892,0.5142011834319526,4278.0,30513.0,18418.0,11736.0,0.1797752808988764,0.1295147482166421,8,124.96513513513514
Corsair CMU32GX4M2C3000C15 16GB,rk9256,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMU32GX4M2C3000C15+16GB&id=9256,0.1890551527136892,0.6399408284023669,5434.0,31621.0,18418.0,13522.0,0.1292134831460674,0.0999149999295579,16,124.96513513513514
Crucial Technology CT4G4DFS824A.C8FG 4GB,rk18048,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+CT4G4DFS824A.C8FG+4GB&id=18048,0.1890551527136892,0.385207100591716,3928.0,30446.0,18417.0,9749.0,0.196629213483146,0.1003799174419205,4,124.96513513513514
Samsung M378A1K43BB2-CTD 8GB,rk11831,https://www.memorybenchmark.net/ram.php?ram=Samsung+M378A1K43BB2-CTD+8GB&id=11831,0.1890551527136892,0.6724852071005918,4697.0,32881.0,18412.0,13975.0,0.0449438202247191,0.0971959369027101,8,124.96513513513514
Crucial Technology BL8G32C16U4R.M8FE1 8GB,rk14506,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+BL8G32C16U4R.M8FE1+8GB&id=14506,0.1890551527136892,0.5686390532544379,4497.0,30814.0,18410.0,11598.0,0.1404494382022472,0.1268520388276565,8,124.96513513513514
Kingston KHX3200C16D4/8GX 8GB,rk9106,https://www.memorybenchmark.net/ram.php?ram=Kingston+KHX3200C16D4%2F8GX+8GB&id=9106,0.1890551527136892,0.6062130177514793,4892.0,31398.0,18408.0,12394.0,0.1292134831460674,0.1209677798075523,8,124.96513513513514
Gloway International Co. Ltd. ABY4U3000E16082C 8GB,rk18381,https://www.memorybenchmark.net/ram.php?ram=Gloway+International+Co.+Ltd.+ABY4U3000E16082C+8GB&id=18381,0.1890551527136892,0.5242603550295859,4528.0,30211.0,18406.0,11501.0,0.1685393258426966,0.1090255047172691,8,124.96513513513514
Solarflare Communications CT16G4DFD824A.C16FBR 16GB,rk11013,https://www.memorybenchmark.net/ram.php?ram=Solarflare+Communications+CT16G4DFD824A.C16FBR+16GB&id=11013,0.1890551527136892,0.5967455621301776,6625.0,32211.0,18405.0,11192.0,0.0898876404494382,0.0888274216801837,16,124.96513513513514
Hewlett-Packard 7EH92AA# 8GB,rk16457,https://www.memorybenchmark.net/ram.php?ram=Hewlett-Packard+7EH92AA%23+8GB&id=16457,0.1890551527136892,0.6417159763313609,4884.0,31792.0,18402.0,11620.0,0.1067415730337078,0.1223014825702894,8,124.96513513513514
